Date,00 Live animals (excl. fish),01 Meat and meat preparations,02 Dairy products and birds’ eggs,03 Fish (excl. marine mammals),04 Cereals and cereal preparations,05 Vegetables and fruit,"06 Sugars, sugar preparations and honey","07 Coffee, tea, cocoa, spices",08 Feeding stuff for animals,09 Miscellaneous edible products
394,4,18,26,74,25,72,17,53,15,90
403,4,18,26,74,34,73,15,54,19,86
406,6,17,21,70,31,82,15,60,24,80
383,8,14,16,68,33,73,15,53,14,89
437,4,16,21,81,35,72,17,55,23,113
471,1,25,30,93,39,79,19,65,25,96
419,4,23,29,90,28,81,14,49,29,72
478,6,28,31,88,31,108,17,54,26,88
407,13,19,22,65,26,89,13,49,24,87
353,7,24,27,58,24,72,12,45,13,71
427,4,23,34,79,27,77,14,55,25,89
397,4,20,28,75,27,76,12,48,24,82
411,6,21,33,68,24,83,12,49,16,99
424,2,22,28,71,31,87,15,54,18,94
450,2,27,27,72,36,90,15,59,32,91
453,11,27,29,77,40,93,15,64,17,80
465,4,23,31,82,37,84,16,65,28,96
487,2,26,29,92,38,95,17,63,17,107
501,5,23,31,95,36,106,18,61,27,99
496,6,30,35,86,35,109,15,59,26,96
469,7,29,31,76,31,92,12,58,19,114
438,25,30,31,77,30,80,13,51,13,87
458,10,39,33,83,31,86,15,55,29,77
476,5,41,33,74,31,82,13,58,23,116
437,3,43,29,74,30,86,14,55,22,81
463,4,36,33,72,31,94,14,64,21,94
441,3,15,31,66,35,92,15,63,29,91
513,12,23,31,83,46,94,19,74,31,101
501,3,25,34,85,44,94,19,72,17,107
477,4,21,31,90,36,90,16,63,23,102
570,4,30,38,106,42,123,17,67,32,110
530,14,32,39,101,38,113,15,60,27,92
484,10,29,36,91,32,104,16,57,16,94
456,20,23,34,77,28,89,11,54,26,94
483,6,30,38,89,33,85,15,59,21,108
478,7,36,39,78,34,85,11,52,27,109
500,9,32,36,86,36,95,13,64,23,107
483,16,28,32,79,40,90,14,59,30,95
495,10,23,36,75,44,98,15,67,34,93
554,13,27,33,89,52,104,18,81,39,99
544,9,29,34,99,52,105,21,75,32,88
